Row Labels,Average of prcp,Average of prcp_rolling_3day,Average of prcp_rolling_7day,Average of prcp_rolling_14day,,,,,,,,,,,,,Row Labels,Average of tmin,Average of tmin_rolling_3day,Average of tmin_rolling_7day,Average of tmin_rolling_14day,,,,,,,,,,,,,,,,,Row Labels,Average of tmax,Average of tmax_rolling_3day,Average of tmax_rolling_7day,Average of tmax_rolling_14day
6/10/2000,0,0,0,0,,,,,,,,,,,,,6/10/2000,50,50.2,52.8857142,54.2357144,,,,,,,,,,,,,,,,,6/10/2000,79.4,77.9333334,83.3714284,84.7214284
6/11/2000,0,0,0,0,,,,,,,,,,,,,6/11/2000,52,50.3333334,52.2857144,53.8214286,,,,,,,,,,,,,,,,,6/11/2000,84,79.3333336,82.7714286,84.092857
6/12/2000,0,0,0,0,,,,,,,,,,,,,6/12/2000,53.2,51.7333334,51.5714286,53.4642856,,,,,,,,,,,,,,,,,6/12/2000,86.8,83.4000002,82.6000002,83.9928574
6/13/2000,0,0,0,0,,,,,,,,,,,,,6/13/2000,56.8,54,52.257143,53.35,,,,,,,,,,,,,,,,,6/13/2000,91.2,87.3333332,83.1714288,84.4785714
6/14/2000,0,0,0,0,,,,,,,,,,,,,6/14/2000,58.2,56.0666668,52.9714284,53.5071428,,,,,,,,,,,,,,,,,6/14/2000,93.6,90.5333332,84.2000002,85.3214286
6/15/2000,0,0,0,0,,,,,,,,,,,,,6/15/2000,57.6,57.5333334,53.8285714,53.8071426,,,,,,,,,,,,,,,,,6/15/2000,92.8,92.5333332,86.0571428,85.907143
6/16/2000,0,0,0,0,,,,,,,,,,,,,6/16/2000,57.2,57.6666668,55,54.0357144,,,,,,,,,,,,,,,,,6/16/2000,88,91.4666666,87.9714284,86.0642858
6/17/2000,0,0,0,0,,,,,,,,,,,,,6/17/2000,58.6,57.8000002,56.2285714,54.5571428,,,,,,,,,,,,,,,,,6/17/2000,85.6,88.8,88.857143,86.1142858
6/18/2000,0,0,0,0,,,,,,,,,,,,,6/18/2000,57.2,57.6666668,56.9714286,54.6285716,,,,,,,,,,,,,,,,,6/18/2000,85.4,86.3333334,89.057143,85.9142858
6/19/2000,0,0,0,0,,,,,,,,,,,,,6/19/2000,57.8,57.8666666,57.6285714,54.6,,,,,,,,,,,,,,,,,6/19/2000,84.4,85.1333334,88.7142858,85.6571428
